Serventia,Total de Casos,% do Total
"Goiânia - UPJ Juizados Especiais Criminais: 1º, 2º e 3º",77933,2.97
"Goiânia - 2ª UPJ Juizados Especiais Cíveis: 6º, 7º, 8º, 9º, 10º e 11º",73296,2.8
"Goiânia - UPJ Varas de Família: 1ª, 2ª, 3ª, 4ª, 5ª, 6ª, 7ª e 8ª",62295,2.38
"Goiânia - 1ª UPJ Juizados Especiais Cíveis: 1º, 2º, 3º, 4º e 5º",61425,2.34
Goiânia - Vara de Precatórias - Desinstalada Resol 221/23,50956,1.94
"Goiânia - UPJ Juizados de Violência Doméstica e Familiar: 1º, 2º, 3º e 4º",36280,1.38
"Aparecida de Goiânia - UPJ Varas de Família e Sucessões: 1ª, 2ª e 3ª",27084,1.03
2ª Câmara Criminal,26800,1.02
1ª Câmara Criminal,26125,1.0
"Aparecida de Goiânia - UPJ Juizados Especiais Cíveis: 1º, 2º e 3º",26003,0.99
"Goiânia - 2ª UPJ Varas de Crimes Punidos com Reclusão e Detenção: 2ª, 4ª, 5ª , 8ª e 9ª",24584,0.94
"Anápolis - UPJ Varas de Família e Sucessões: 1ª, 2ª e 3ª",22836,0.87
"Aparecida de Goiânia - UPJ Varas Criminais: 1ª, 2ª, 3ª e 4ª",20868,0.8
"Goiânia - UPJ Juizados da Fazenda Pública: 1º, 2º, 3º e 4º (1º Núcleo da Justiça 4.0 Permanente)",20810,0.79
"Anápolis - UPJ Varas Criminais: 1ª, 2ª, 3ª e 5ª",20554,0.78
